key	scope	area	screen	ru	en	status	note
app.tagline	mvp	app		ТРЕНАЖЁР РЕШЕНИЙ · НЕ БИРЖА	DECISION TRAINER · NOT AN EXCHANGE	ok	
app.disclaimer	mvp	app		Игра не даёт торговых сигналов и не обещает дохода. Внутриигровые ресурсы не выводятся.	The game gives no trading signals and promises no income. In-game resources cannot be withdrawn.	ok	
app.loading	mvp	app		Загрузка архива рыночных катастроф…	Loading the archive of market disasters…	ok	
nav.home	mvp	nav		ГЛАВНАЯ	HOME	ok	
nav.academy	mvp	nav		ОБУЧЕНИЕ	LEARN	ok	
nav.arena	mvp	nav		ПРАКТИКА	PRACTICE	ok	
nav.bestiary	mvp	nav		УГРОЗЫ	THREATS	ok	
nav.more	mvp	nav		ЕЩЁ	MORE	ok	
shell.scenarioProgress	mvp	shell		СЦЕНАРИЙ	SCENARIO	ok	
shell.protocol	mvp	shell		ПРАВИЛО	RULE	ok	
arena.brief	mvp	arena		БРИФИНГ	BRIEFING	ok	
arena.task	mvp	arena		ЗАДАЧА	TASK	ok	
arena.skills	mvp	arena		КАРТЫ НАВЫКОВ	SKILL CARDS	ok	
arena.decisions	mvp	arena		РЕШЕНИЕ	DECISION	ok	REVIEW: прототип 4.2/4.3 — «ОСНОВНОЕ РЕШЕНИЕ»
arena.confirm	mvp	arena		ЗАФИКСИРОВАТЬ РЕШЕНИЕ	LOCK DECISION	ok	
arena.confirmHint	mvp	arena		Будущее скрыто. После фиксации — раскроем архив.	The future is hidden. After the lock — we open the archive.	ok	
arena.step2	mvp	arena		ВТОРОЙ ШАГ	SECOND STEP	ok	
arena.futureHidden	mvp	arena		БУДУЩЕЕ СКРЫТО	FUTURE HIDDEN	ok	
arena.t0	mvp	arena		t0 · ТОЧКА РЕШЕНИЯ	t0 · DECISION POINT	ok	
arena.unskill	mvp	arena		СНЯТЬ КАРТУ	REMOVE CARD	ok	
arena.pause	mvp	arena		ПАУЗА	PAUSE	ok	
arena.exit	mvp	arena		ПОКИНУТЬ СЦЕНАРИЙ	ABANDON SCENARIO	ok	REVIEW: прототип 4.14 — «Сохранить и выйти» (см. arena.exitYes)
arena.exitHint	mvp	arena		Рынок подождёт. Он вообще никуда не торопится.	The market will wait. It is in no hurry at all.	ok	
reveal.title	mvp	reveal		АРХИВ РАСКРЫТ	ARCHIVE OPENED	ok	
reveal.play	mvp	reveal		ПРОКРУТИТЬ ПОСЛЕДСТВИЯ	PLAY CONSEQUENCES	ok	
reveal.fact	mvp	reveal		РЫНОЧНЫЙ ФАКТ	MARKET FACT	ok	
reveal.consequence	mvp	reveal		ПОСЛЕДСТВИЕ ДЕЙСТВИЯ	ACTION CONSEQUENCE	ok	
reveal.quality	mvp	reveal		КАЧЕСТВО РЕШЕНИЯ	DECISION QUALITY	ok	
reveal.next	mvp	reveal		СЛЕДУЮЩАЯ ОХОТА	NEXT HUNT	ok	
reveal.review	mvp	reveal		РАЗБОР	BREAKDOWN	ok	
reveal.rule	mvp	reveal		ПЕРЕНОСИМОЕ ПРАВИЛО	PORTABLE RULE	ok	
verdict.agree	mvp	verdict		РЫНОК СОГЛАСИЛСЯ. ЭТО НЕ ЗНАЧИТ, ЧТО ТЫ БЫЛ ПРАВ.	THE MARKET AGREED. THAT DOES NOT MEAN YOU WERE RIGHT.	ok	
verdict.disagree	mvp	verdict		РЫНОК НЕ СОГЛАСИЛСЯ. ЭТО НЕ ЗНАЧИТ, ЧТО ТЫ ОШИБСЯ.	THE MARKET DISAGREED. THAT DOES NOT MEAN YOU WERE WRONG.	ok	
states.loading	mvp	states		ЗАГРУЗКА ДАННЫХ	LOADING DATA	ok	
states.loadingSub	mvp	states		Рынок ищет оправдание. Подожди.	The market is looking for an excuse. Wait.	ok	
states.offline	mvp	states		СВЯЗИ НЕТ	NO CONNECTION	ok	
states.offlineSub	mvp	states		Хорошая новость: рынок тоже никуда не убежал.	Good news: the market is not going anywhere either.	ok	
states.locked	mvp	states		ЗАПЕРТО	LOCKED	ok	
states.lockedSub	mvp	states		Сущность пока считает тебя недостаточно удобной жертвой.	The entity still finds you an inconvenient victim.	ok	
states.error	mvp	states		ДАННЫЕ НЕ ЗАГРУЖЕНЫ	DATA FAILED TO LOAD	ok	
states.errorSub	mvp	states		Даже сервер иногда делает вид, что всё под контролем.	Even servers sometimes pretend everything is under control.	ok	
states.retry	mvp	states		ПОВТОРИТЬ	RETRY	ok	
states.empty	mvp	states		ЗДЕСЬ ПОКА ПУСТО	NOTHING HERE YET	ok	
states.emptySub	mvp	states		Даже паника начинается с чистого листа.	Even panic starts with a blank sheet.	ok	
states.saved	mvp	states		РЕЗУЛЬТАТ СОХРАНЁН	RESULT SAVED	ok	
